Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.94673E-4,41.264678057,0.560552208,0.084284722,0.328767123,0.347222222
2.99199E-4,41.502848082,0.566066867,0.083490519,0.356164384,0.347222222
3.01197E-4,41.77343881,0.568479981,0.082597042,0.356164384,0.347222222
3.04691E-4,42.015872525,0.572666679,0.081802839,0.356164384,0.347222222
3.06235E-4,42.260443751,0.574503033,0.081008637,0.356164384,0.347222222
3.08571E-4,42.506631688,0.577267515,0.080214435,0.356164384,0.347222222
3.10523E-4,42.754481796,0.579563451,0.079420232,0.356164384,0.347222222
3.12767E-4,43.003570607,0.582188206,0.07862603,0.356164384,0.347222222
3.15697E-4,43.255226863,0.585590356,0.077831828,0.356164384,0.347222222
3.19208E-4,43.509997106,0.589630202,0.077037625,0.356164384,0.347222222
3.20244E-4,43.766030163,0.590814796,0.076243423,0.356164384,0.347222222
3.22013E-4,44.023186843,0.592830152,0.075449221,0.369863014,0.347222222
3.24091E-4,44.281644184,0.595183327,0.074655018,0.369863014,0.347222222
3.26496E-4,44.50972504,0.597891588,0.073960091,0.369863014,0.347222222
